date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:02:30	62248/62248	---M-Z	200	added ('OK')	text/html	etag:%22f328-64e5d6ad-5559124f526f3d16;gz%22	https://validthemes.net/site-template/agrul/index.html	C:/My%20Web%20Sites/kurFruit/validthemes.net/site-template/agrul/index.html	(from )
23:02:31	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-64b94017-82f3b5dc6195bc8a;gz%22	https://validthemes.net/robots.txt		(from )
23:02:31	1742/1742	---M--	200	added ('OK')	image/png	etag:%226ce-64e5d6ad-79a4fdb8deef0f26;;;%22	https://validthemes.net/site-template/agrul/assets/img/favicon.png	C:/My%20Web%20Sites/kurFruit/validthemes.net/site-template/agrul/assets/img/favicon.png	(from https://validthemes.net/site-template/agrul/index.html)
23:02:33	163873/163873	---M-Z	200	added ('OK')	text/css	etag:%2228021-64e5d6ad-695c15c66b37c1c8;gz%22	https://validthemes.net/site-template/agrul/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/kurFruit/validthemes.net/site-template/agrul/assets/css/bootstrap.min.css	(from https://validthemes.net/site-template/agrul/index.html)
23:02:33	16450/16450	---M-Z	200	added ('OK')	text/css	etag:%224042-64e5d6ad-320217b23d37cfe1;gz%22	https://validthemes.net/site-template/agrul/assets/css/themify-icons.css	C:/My%20Web%20Sites/kurFruit/validthemes.net/site-template/agrul/assets/css/themify-icons.css	(from https://validthemes.net/site-template/agrul/index.html)
23:02:33	174244/174244	---M-Z	200	added ('OK')	text/css	etag:%222a8a4-64e5d6ad-f5c2e9763b806907;gz%22	https://validthemes.net/site-template/agrul/assets/css/font-awesome.min.css	C:/My%20Web%20Sites/kurFruit/validthemes.net/site-template/agrul/assets/css/font-awesome.min.css	(from https://validthemes.net/site-template/agrul/index.html)
23:02:34	26593/26593	---M-Z	200	added ('OK')	text/css	etag:%2267e1-64e5d6ad-4161089f581b649;gz%22	https://validthemes.net/site-template/agrul/assets/css/elegant-icons.css	C:/My%20Web%20Sites/kurFruit/validthemes.net/site-template/agrul/assets/css/elegant-icons.css	(from https://validthemes.net/site-template/agrul/index.html)
23:02:34	8662/8662	---M-Z	200	added ('OK')	text/css	etag:%2221d6-64e5d6ad-ab8f47d9cac91e09;gz%22	https://validthemes.net/site-template/agrul/assets/css/flaticon-set.css	C:/My%20Web%20Sites/kurFruit/validthemes.net/site-template/agrul/assets/css/flaticon-set.css	(from https://validthemes.net/site-template/agrul/index.html)
23:02:35	6951/6951	---M-Z	200	added ('OK')	text/css	etag:%221b27-64e5d6ad-78f20bf2b191f9ff;gz%22	https://validthemes.net/site-template/agrul/assets/css/magnific-popup.css	C:/My%20Web%20Sites/kurFruit/validthemes.net/site-template/agrul/assets/css/magnific-popup.css	(from https://validthemes.net/site-template/agrul/index.html)
23:02:35	15820/15820	---M-Z	200	added ('OK')	text/css	etag:%223dcc-64e5d6ad-55ae7bd2a05abbc9;gz%22	https://validthemes.net/site-template/agrul/assets/css/swiper-bundle.min.css	C:/My%20Web%20Sites/kurFruit/validthemes.net/site-template/agrul/assets/css/swiper-bundle.min.css	(from https://validthemes.net/site-template/agrul/index.html)
23:02:35	68606/68606	---M-Z	200	added ('OK')	text/css	etag:%2210bfe-64e5d6ad-1963d591abbe40f;gz%22	https://validthemes.net/site-template/agrul/assets/css/animate.css	C:/My%20Web%20Sites/kurFruit/validthemes.net/site-template/agrul/assets/css/animate.css	(from https://validthemes.net/site-template/agrul/index.html)
23:02:36	58276/58276	---M-Z	200	added ('OK')	text/css	etag:%22e3a4-64e5d6ad-844a002b77bb29f7;gz%22	https://validthemes.net/site-template/agrul/assets/css/validnavs.css	C:/My%20Web%20Sites/kurFruit/validthemes.net/site-template/agrul/assets/css/validnavs.css	(from https://validthemes.net/site-template/agrul/index.html)
23:02:36	154192/154192	---M-Z	200	added ('OK')	text/css	etag:%2225a50-64e5d6ad-497393fbadc820dd;gz%22	https://validthemes.net/site-template/agrul/assets/css/helper.css	C:/My%20Web%20Sites/kurFruit/validthemes.net/site-template/agrul/assets/css/helper.css	(from https://validthemes.net/site-template/agrul/index.html)
23:02:36	64624/64624	---M-Z	200	added ('OK')	text/css	etag:%22fc70-64e5d6ad-6ab45e31fa2985ed;gz%22	https://validthemes.net/site-template/agrul/assets/css/shop.css	C:/My%20Web%20Sites/kurFruit/validthemes.net/site-template/agrul/assets/css/shop.css	(from https://validthemes.net/site-template/agrul/index.html)
23:02:37	138865/138865	---M-Z	200	added ('OK')	text/css	etag:%2221e71-64e5d6ad-50f576330e02174b;gz%22	https://validthemes.net/site-template/agrul/assets/css/style.css	C:/My%20Web%20Sites/kurFruit/validthemes.net/site-template/agrul/assets/css/style.css	(from https://validthemes.net/site-template/agrul/index.html)
23:02:37	26040/26040	---M-Z	200	added ('OK')	text/css	etag:%2265b8-64e5d6ad-abe0faca1f4af592;gz%22	https://validthemes.net/site-template/agrul/assets/css/unit-test.css	C:/My%20Web%20Sites/kurFruit/validthemes.net/site-template/agrul/assets/css/unit-test.css	(from https://validthemes.net/site-template/agrul/index.html)
23:02:37	1784/1784	---M-Z	200	added ('OK')	text/css	etag:%226f8-64e5d6ad-aa178057d562f5c1;gz%22	https://validthemes.net/site-template/agrul/style.css	C:/My%20Web%20Sites/kurFruit/validthemes.net/site-template/agrul/style.css	(from https://validthemes.net/site-template/agrul/index.html)
23:02:37	14470/14470	---M--	200	added ('OK')	image/png	etag:%223886-64e5d6ad-ebbda15a9cc51855;;;%22	https://validthemes.net/site-template/agrul/assets/img/logo.png	C:/My%20Web%20Sites/kurFruit/validthemes.net/site-template/agrul/assets/img/logo.png	(from https://validthemes.net/site-template/agrul/index.html)
23:02:37	80904/80904	---M-Z	200	added ('OK')	text/html	etag:%2213c08-64e5d6ad-8264f83483faaed1;gz%22	https://validthemes.net/site-template/agrul/index-3.html	C:/My%20Web%20Sites/kurFruit/validthemes.net/site-template/agrul/index-3.html	(from https://validthemes.net/site-template/agrul/index.html)
23:02:38	60614/60614	---M-Z	200	added ('OK')	text/html	etag:%22ecc6-64e5d6ad-be0e3290ccb770c3;gz%22	https://validthemes.net/site-template/agrul/index-2.html	C:/My%20Web%20Sites/kurFruit/validthemes.net/site-template/agrul/index-2.html	(from https://validthemes.net/site-template/agrul/index.html)
